English,Kui_Odia
Where did you learn to swim?,ଇନୁ ଅମ୍ବ ପହେରି ଗ୍ରାମ୍ବିତି ।
The Earth revolves around the sun.,ପୁର୍ତି ସାରିପାକି ବେଲା ବୁଲି ଆଇନେ ।
How much free time do you have today?,ନେଞ୍ଜୁ ଏସେଡେଲି ଟୁକ୍‌ମା ପିଃପାପାନ୍‌ବା ମୁଦି ।
The peacock has a beautiful dance.,ମେଲୁଣ୍ଡାରି ରଣ୍ଡ ବଡ଼ିଦଆ ଏନ୍ଦାମାନେ ।
My favorite cartoon character is Chhota Bheem.,ଆନୁ ଚଟାବୀମ୍ କାଟୁନ୍ ତିନି ମେଃପା ମାଣ୍ଡି ।
I like to read fairy tales with Tedhemedhe.,ଆନୁ ନେଗା କେରଣି ଟେଡେମେଢେ ଆଡସେ ପଡ଼ିଆବା ମନ ।
Diwali is a festival of lights.,ଦୀପାବଳି ଆଇନେ ଉଜହାଡ଼ି ପାର୍ବା।
We should always share with others.,ଆ’ଜୁ ସଦାବେଳେ ଲକୁରିକେ ମିଶା ଆଜାନା। ରାହିଆବା କାତ।
My dog likes to eat chicken.,ନାନ୍ଦେ ବାହୁତି କଜୁ ଭଙ୍ଗା ତିନ୍‌ସ୍ପା ମନ ଆନେ ।
We should be careful with our words.,ମାଇଁ କାତା ବେସ୍‌ନାରା ଏଲୁଗିଆନା ବେସ୍‌ପା କାତା ।
I like to visit new places.,ଆ’ନୁ କୁନି ବାସା ତ୍ରେବା ମାଣ୍ଡି ।
She opened the window to let in the air.,ଏରି ବ୍ଲିହୁ ବାପାଳାରି ରଞ୍ଜାନା ଝରକା ଦେତେ ।
The sun rises in the east.,ଏଆଞ୍ଜୁ ଜିମ୍ ତାଙ୍ଗି ବେଗା ଦିନା ସାନେଞ୍ଜୁ ।
I don’t want to know anything.,ଆକୁ ଆନିତାଆ ନେଏ ପୁନ୍‌ମ୍ବା ମାଟ୍‌କି ସିବେନୁ ।
We should respect other people's opinions.,ଆ’ଜୁ ଲବୁତାରା କାଡାବାର୍ତ୍ତା ମନିଅବା କାତା ।
We should be respectful to everyone.,ଆଜୁ ଏସ୍ତି ଲକୁରିବେ ସଦ୍ଭାନ ସିବା କାତା ।
You go to holiday in every summer.,ଇନୁ ଗୁଲେ କାରାତାନି ଛୁଟି ସାଜି ।
The giraffe has a long neck.,ଜିରାପ ତାରି ଲାମ୍ବା ବଟା ମାନେ
We should keep our homes clean.,ଆ’ମୁ ମାନ୍ଦାରା ଇଡୁ ସାପାଗିଆନା ଇଟା କାତା ।
I like to visit the park.,ନଡ଼ିଆ ମ୍ରାଃକା ମାଇ ଦାଦୁ ପାକି ସେବଥ କମ୍ ।
I like to listen to stories.,ଆ’ନୁ କେରଣ୍ଡି ବେନ୍‌ବା ଗାମେ ମାଣ୍ଡି ।
It is a matter of sorrow.,ଇରେ ଗାମେଏ ବିକାଲି ତାରି କାତା
My son loves to play with his friend.,ବାଇ ମିରେଞ୍ଜୁ ଗଡ଼ା ତାଡା ଡଚେଞ୍ଜାରିକେଏ କାହା ମାଣ୍ଡିନେଞ୍ଜୁ ।
Holi is a festival of colors.,ହଲିପର୍ବରଣ୍ଡେ ରଙ୍ଗ କାହା
