English,Santali
"Major institutions of higher education are NIT Srinagar, IIT Jammu, IIM Jammu, NIFT Srinagar, and IHM Srinagar.","ᱞᱟᱯᱷᱟᱝ ᱥᱮᱪᱮᱫ ᱨᱮᱭᱟᱜ ᱢᱩᱬᱩᱫ ᱟᱥᱲᱟ ᱠᱚᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱮᱱ ᱟᱭ ᱴᱤ ᱥᱨᱤᱱᱚᱜᱚᱨ, ᱟᱭ ᱟᱭ ᱴᱤ ᱡᱚᱢᱢᱩ, ᱟᱭ ᱟᱭ ᱴᱤ ᱡᱚᱢᱢᱩ, ᱮᱱ ᱟᱭ ᱮᱯᱷ ᱴᱤ ᱥᱨᱤᱱᱚᱜᱚᱨ, ᱟᱨ ᱟᱭ ᱮᱭᱤᱪ ᱮᱢ ᱥᱨᱤᱱᱚᱜᱚᱨ ᱾"
It was established more than 50 years ago to aid in closing the education gender gap.,ᱥᱤᱠᱷᱱᱟᱹᱛ ᱨᱮ ᱡᱟᱱᱟᱝ ᱯᱷᱟᱨᱟᱠ ᱵᱚᱱᱫᱚᱭᱛᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱶᱟ ᱫᱚ ᱕᱐ ᱥᱮᱨᱢᱟ ᱠᱷᱚᱱ ᱦᱚᱸ ᱢᱟᱲᱟᱝ ᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱦᱩᱭᱞᱮᱱᱟ ᱾
"Eventually, however, no tiger was sighted there, between October 2008 and May 2009.","ᱮᱱᱛᱮ, ᱢᱩᱪᱟᱹᱫ ᱨᱮ,ᱚᱠᱴᱳᱵᱚᱨ ᱒᱐᱐᱘ ᱠᱷᱚᱱ ᱢᱮᱹ ᱒᱐᱐᱙ ᱢᱩᱫᱽ ᱨᱮ ᱚᱸᱰᱮ ᱪᱮᱹᱞᱮ ᱛᱟᱨᱩᱵᱽ ᱦᱚᱸ ᱵᱟᱭ ᱧᱮᱞᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾"
"Kanha, Bandhavgarh, Pench, Panna, and Satpura National Parks are managed as Project Tiger areas.","ᱠᱟᱱᱦᱟ, ᱵᱟᱱᱫᱷᱚᱵᱽᱜᱚᱲ, ᱯᱮᱧᱪ, ᱯᱟᱱᱱᱟ ᱟᱨ ᱥᱟᱛᱯᱩᱨᱟ ᱨᱟᱥᱴᱨᱤᱭᱚ ᱩᱫᱽᱫᱟᱱ ᱠᱚᱫᱚ ᱯᱨᱚᱡᱮᱠᱴ ᱴᱟᱭᱜᱟᱨ ᱴᱚᱴᱷᱟ ᱨᱩᱯ ᱛᱮ ᱪᱟᱪᱟᱞᱟᱣᱚᱜᱼᱟ ᱾"
"Krikalev and Phillips will have light duty for the next two days, as they rest after completing a busy handover period.","ᱠᱨᱤᱠᱟᱞᱮᱵᱷ ᱟᱨ ᱯᱷᱤᱞᱤᱯᱥ ᱟᱜᱟᱢ ᱵᱟᱨ ᱢᱟᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱥᱮ ᱟᱸᱜᱤᱵᱷᱟᱨ ᱠᱤᱱ ᱯᱟᱞᱟᱣᱼᱟ, ᱚᱡᱮ ᱫᱚ ᱩᱱᱠᱤᱱ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱦᱚᱲ ᱪᱟᱞᱦᱟᱛᱟᱣ ᱟᱸᱜᱤᱵᱷᱟᱨ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱚ ᱢᱩᱪᱟᱹᱫ ᱛᱟᱭᱚᱢ ᱠᱤᱱ ᱡᱤᱨᱟᱹᱜᱼᱟ ᱾"
"Chandipur, in the Baleswar district, is a calm and serene site, that is mostly unexplored by tourists.","ᱵᱟᱞᱮᱥᱥᱚᱨ ᱦᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱟᱸᱫᱤᱯᱩᱨ ᱢᱤᱫᱴᱟᱝ ᱱᱤᱨᱞᱟᱹ ᱟᱨ ᱥᱟᱯᱷᱟ ᱴᱷᱟᱶ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱰᱷᱮᱨᱠᱟᱭᱛᱮ ᱫᱟᱲᱟᱱᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱵᱟᱝ ᱛᱩᱱᱠᱷᱤᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾"
Some of the oldest rocks in the Indian subcontinent are found in Goa between Molem and Anmod on Goa's border with Karnataka.,ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱩᱯᱚᱢᱟᱦᱟᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱮᱱ ᱥᱤᱞᱟᱹ ᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱤᱫ ᱵᱟᱨ ᱜᱳᱶᱟ ᱨᱮ ᱠᱚᱨᱱᱟᱴᱚᱠ ᱥᱟᱶᱛᱮ ᱜᱳᱣᱟ ᱥᱤᱢᱟᱹᱨᱮ ᱢᱳᱞᱮᱢ ᱟᱨ ᱟᱱᱢᱳᱫᱮᱨ ᱛᱟᱞᱟᱢᱟᱞᱟ ᱴᱚᱴᱷᱟ ᱨᱮ ᱧᱮᱞ ᱧᱟᱢᱚᱜᱼᱟ ᱾
"Also, you will have to turn over any medical records you have pertaining to your condition.","ᱱᱚᱶᱟ ᱵᱮᱜᱚᱨ, ᱟᱢᱟᱜ ᱦᱟᱞᱚᱛ ᱵᱟᱠᱷᱨᱟ ᱡᱟᱦᱟᱸᱱ ᱢᱮᱰᱤᱠᱮᱞ ᱫᱚᱞᱤᱞ ᱟᱢ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸᱱ ᱠᱷᱟᱱ ᱚᱱᱟ ᱠᱚᱦᱚᱸ ᱮᱢᱚᱜ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
Each of these islands has its own dialect.,ᱱᱚᱶᱟ ᱰᱷᱤᱵ ᱠᱚᱫᱚ ᱱᱤᱡᱮᱨᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱱᱟᱢᱟᱜ ᱪᱟᱸᱜᱟ ᱯᱟᱹᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾
Samyuktha Hegde is an Indian actress who predominantly works in Kannada and Tamil films.,ᱥᱚᱝᱡᱩᱠᱛᱟ ᱦᱮᱜᱚᱲ ᱢᱤᱫᱦᱚᱲ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱟᱥᱚᱞᱨᱮ ᱠᱚᱱᱱᱚᱲ ᱟᱨ ᱛᱟᱹᱢᱤᱞ ᱪᱚᱞᱚᱠᱪᱤᱛᱟᱹᱨᱮᱭ ᱠᱟᱹᱢᱤ ᱞᱮᱫᱟ ᱾
