Hindi,Kui_Odia
आपने तैरना कहाँ सीखा?,ଇନୁ ଅମ୍ବ ପହେରି ଗ୍ରାମ୍ବିତି ।
पृथ्वी सूर्य के चारों ओर घूमती है।,ପୁର୍ତି ସାରିପାକି ବେଲା ବୁଲି ଆଇନେ ।
आज आपके पास कितना खाली समय है?,ନେଞ୍ଜୁ ଏସେଡେଲି ଟୁକ୍‌ମା ପିଃପାପାନ୍‌ବା ମୁଦି ।
मोर का एक सुंदर नृत्य है।,ମେଲୁଣ୍ଡାରି ରଣ୍ଡ ବଡ଼ିଦଆ ଏନ୍ଦାମାନେ ।
मेरा पसंदीदा कार्टून चरित्र छोटा भीम है।,ଆନୁ ଚଟାବୀମ୍ କାଟୁନ୍ ତିନି ମେଃପା ମାଣ୍ଡି ।
मुझे टेडहेमेडे के साथ परियों की कहानियाँ पढ़ना पसंद है।,ଆନୁ ନେଗା କେରଣି ଟେଡେମେଢେ ଆଡସେ ପଡ଼ିଆବା ମନ ।
दिवाली रोशनी का त्योहार है।,ଦୀପାବଳି ଆଇନେ ଉଜହାଡ଼ି ପାର୍ବା।
हमें हमेशा दूसरों के साथ साझा करना चाहिए।,ଆ’ଜୁ ସଦାବେଳେ ଲକୁରିକେ ମିଶା ଆଜାନା। ରାହିଆବା କାତ।
मेरा कुत्ता चिकन खाना पसंद करता है।,ନାନ୍ଦେ ବାହୁତି କଜୁ ଭଙ୍ଗା ତିନ୍‌ସ୍ପା ମନ ଆନେ ।
हमें अपनी बातों में सावधानी बरतनी चाहिए।,ମାଇଁ କାତା ବେସ୍‌ନାରା ଏଲୁଗିଆନା ବେସ୍‌ପା କାତା ।
मुझे नई-नई जगहों पर जाना पसंद है।,ଆ’ନୁ କୁନି ବାସା ତ୍ରେବା ମାଣ୍ଡି ।
उसने हवा में आने के लिए खिड़की खोली।,ଏରି ବ୍ଲିହୁ ବାପାଳାରି ରଞ୍ଜାନା ଝରକା ଦେତେ ।
सूर्य पूर्व में उगता है।,ଏଆଞ୍ଜୁ ଜିମ୍ ତାଙ୍ଗି ବେଗା ଦିନା ସାନେଞ୍ଜୁ ।
में कुछ जानना नहीं चाहता।,ଆକୁ ଆନିତାଆ ନେଏ ପୁନ୍‌ମ୍ବା ମାଟ୍‌କି ସିବେନୁ ।
हमें दूसरों की राय का सम्मान करना चाहिए।,ଆ’ଜୁ ଲବୁତାରା କାଡାବାର୍ତ୍ତା ମନିଅବା କାତା ।
हमें सभी का सम्मान करना चाहिए।,ଆଜୁ ଏସ୍ତି ଲକୁରିବେ ସଦ୍ଭାନ ସିବା କାତା ।
आप हर गर्मियों में छुट्टी पर जाते हैं।,ଇନୁ ଗୁଲେ କାରାତାନି ଛୁଟି ସାଜି ।
जिराफ की गर्दन लंबी होती है।,ଜିରାପ ତାରି ଲାମ୍ବା ବଟା ମାନେ
हमें अपने घरों को साफ रखना चाहिए।,ଆ’ମୁ ମାନ୍ଦାରା ଇଡୁ ସାପାଗିଆନା ଇଟା କାତା ।
मुझे पार्क में घूमना पसंद है।,ନଡ଼ିଆ ମ୍ରାଃକା ମାଇ ଦାଦୁ ପାକି ସେବଥ କମ୍ ।
मुझे कहानियाँ सुनना पसंद है।,ଆ’ନୁ କେରଣ୍ଡି ବେନ୍‌ବା ଗାମେ ମାଣ୍ଡି ।
यह दुख की बात है।,ଇରେ ଗାମେଏ ବିକାଲି ତାରି କାତା
मेरे बेटे को अपने दोस्त के साथ खेलना पसंद है।,ବାଇ ମିରେଞ୍ଜୁ ଗଡ଼ା ତାଡା ଡଚେଞ୍ଜାରିକେଏ କାହା ମାଣ୍ଡିନେଞ୍ଜୁ ।
होली रंगों का त्योहार है।,ହଲିପର୍ବରଣ୍ଡେ ରଙ୍ଗ କାହା
मुझे राजनीति विज्ञान पढ़ना पसंद नहीं है।,ଆନୁ ରୋଜନିତୀ ବିଜ୍ଞାନ ପତିଆବା ମାଣ୍ଡେବୁ ।
सूर्य पूर्व में उगता है।,ଏଆରୁ ପାଇଟିଆ ସାଲାଆତେରୁ ।
मुझे पिकनिक पर जाना पसंद है।,ଆ’ନୁ ବଣବଜି ଗିବା ଗାମେ ମାଣ୍ଡି
मुझे अपने भतीजे के साथ खेलना पसंद है।,ଆନୁ ନାଇ ପୁତୁରା କେଏ କାହା ମନ ଆଇଁ ।
लाल किला दिल्ली में है।,ରେଡ୍ ଦୁର୍ଗ ଦିଲ୍ଲୀତା ମାନେ ।
लोमड़ी एक बहुत ही चालाक जानवर है।,କକଶିଆଳି ରଣ୍ଡେ ଗା’ମେ ଚାଲାକି ଜତୁ ।
क्या मेरे पास ऊपर की मंजिल पर एक कमरा हो सकता है?,ଉପର ମହଲାତାନି ଆନୁ ରଣ୍ଡା ବାକାର ପାଇନା ?
हमें हमेशा सच बोलना चाहिए।,ଆଜୁ ଏସେରିବେଳାବେ ସତ ବେସପା କାତା ।
मुझे संगीत सुनना पसंद है।,ନାଙ୍ଗେ ଚା ବରକାରି ।
जिराफ की गर्दन लंबी होती है।,ଜିରାପ୍ ନାରି ଡକା ଗାମେ ଲାମ୍ବା ।
मुझे वाद्य यंत्र बजाना पसंद है।,ଆ’ନୁ ବାଦ୍ୟ/ବାଜାଙ୍ଗା କସପା ଗାମେ ମାଣ୍ଡି ।
भारतीय ध्वज को तिरंगे के नाम से भी जाना जाता है।,ଜାତୀୟ ପତାକା ନି ତିନିକୋଣ ମେସା ଇନ୍‌ବା ଆନେ ।
हम 15 अगस्त को स्वतंत्रता दिवस मनाते हैं।,ଆ’ମୁଁ ଅଗଷ୍ଟ ପନ୍ଦର ଗେଲା ସ୍ୱାଧୀନତା ପାଳନ ଗିପିନାମୁ ।
मुझे चिड़ियाघर जाना पसंद है।,ମୋବାଇଲକା ଫୋନ୍ ଗିବା ତିଙ୍ଗି ବ୍ୟବହାର ଆଇନୁ ।
प्लास्टिक की थैलियों का उपयोग नहीं करना चाहिए।,ପ୍ଲାଷ୍ଟିକ୍ ଜିନିଷ ବ୍ୟବହାର ଗିବା କାତା ଆଏ ।
हंस एक सुंदर पक्षी है।,ରାଜ୍‌ହଂସ ଗାମେ ସାଞ୍ଜାନାରି ପଟା ।
मुझे अपने दोस्तों के साथ खेलना अच्छा लगता है।,ଆନୁ ନାଇ ତଡ଼େଜାରିକେଏ କାହାନା ରେହା ଆଇ ମାଇ
गाय भारत में एक पवित्र पशु है।,"କ’ଡି ଆଇନେ, ମାଇଁ ଭାରତ ତା’ ନେଗି ଜ’ତୁ ।"
हाथी की दो छोटी आंखें होती हैं।,ହାତୀନାଇ ଜଙ୍ଗକା କଷାଇ କାନ୍‌କାହ ମାନ୍ତ ।
गौरैया एक छोटा पक्षी है।,ସାରିଗାଟା ଟିକୁତାଇ ପଟାଙ୍ଗା ।
हमें काम में जिम्मेदार होना चाहिए।,ଉାଙ୍ଗେ ମାଇ ପାଇଟିଆ ଦାୟିତ୍ୱବାନ୍ ଆବା ଦିନେ
सूर्य पूर्व में उगता है।,ଇନୁ ବାନ୍ଦାରା ଡେଲି ନାହିକି ଗିପିଞ୍ଜାନି ।
हमें सार्वजनिक स्थानों पर कूड़ा नहीं फेंकना चाहिए।,"ଆ’ଜୁ ଗହଳି ବାସାତା ଅଳିଆ, ବିଛେଇ ଗିବା କାତା ଆଏ ।"
मैं बस से स्कूल जाता हूँ।,ଆ’ନୁ ବସଡ଼ାଇ ଇସ୍କୁଲିଆକି ସାଜିମାଇଁ ।
यमुना नदी दिल्ली से होकर बहती है।,ଜମୁନା ଜଡ଼ି ଦିଲ୍ଲୀ ସିଆନା ସାଜାନେ ।
