Hindi,Santali
"उच्च शिक्षा के प्रमुख संस्थान एन. आई. टी. श्रीनगर, आई. आई. टी. जम्मू, आई. आई. एम. जम्मू, एन. आई. एफ. टी. श्रीनगर और आई. एच. एम. श्रीनगर हैं।","ᱞᱟᱯᱷᱟᱝ ᱥᱮᱪᱮᱫ ᱨᱮᱭᱟᱜ ᱢᱩᱬᱩᱫ ᱟᱥᱲᱟ ᱠᱚᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱮᱱ ᱟᱭ ᱴᱤ ᱥᱨᱤᱱᱚᱜᱚᱨ, ᱟᱭ ᱟᱭ ᱴᱤ ᱡᱚᱢᱢᱩ, ᱟᱭ ᱟᱭ ᱴᱤ ᱡᱚᱢᱢᱩ, ᱮᱱ ᱟᱭ ᱮᱯᱷ ᱴᱤ ᱥᱨᱤᱱᱚᱜᱚᱨ, ᱟᱨ ᱟᱭ ᱮᱭᱤᱪ ᱮᱢ ᱥᱨᱤᱱᱚᱜᱚᱨ ᱾"
इसकी स्थापना 50 साल से भी पहले शिक्षा में लैंगिक अंतर को कम करने में सहायता के लिए की गई थी।,ᱥᱤᱠᱷᱱᱟᱹᱛ ᱨᱮ ᱡᱟᱱᱟᱝ ᱯᱷᱟᱨᱟᱠ ᱵᱚᱱᱫᱚᱭᱛᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱚᱶᱟ ᱫᱚ ᱕᱐ ᱥᱮᱨᱢᱟ ᱠᱷᱚᱱ ᱦᱚᱸ ᱢᱟᱲᱟᱝ ᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱦᱩᱭᱞᱮᱱᱟ ᱾
"आखिरकार, अक्टूबर 2008 और मई 2009 के बीच, वहाँ कोई बाघ नहीं देखा गया।","ᱮᱱᱛᱮ, ᱢᱩᱪᱟᱹᱫ ᱨᱮ,ᱚᱠᱴᱳᱵᱚᱨ ᱒᱐᱐᱘ ᱠᱷᱚᱱ ᱢᱮᱹ ᱒᱐᱐᱙ ᱢᱩᱫᱽ ᱨᱮ ᱚᱸᱰᱮ ᱪᱮᱹᱞᱮ ᱛᱟᱨᱩᱵᱽ ᱦᱚᱸ ᱵᱟᱭ ᱧᱮᱞᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾"
"कान्हा, बांधवगढ़, पेंच, पन्ना और सतपुड़ा राष्ट्रीय उद्यानों का प्रबंधन प्रोजेक्ट टाइगर क्षेत्रों के रूप में किया जाता है।","ᱠᱟᱱᱦᱟ, ᱵᱟᱱᱫᱷᱚᱵᱽᱜᱚᱲ, ᱯᱮᱧᱪ, ᱯᱟᱱᱱᱟ ᱟᱨ ᱥᱟᱛᱯᱩᱨᱟ ᱨᱟᱥᱴᱨᱤᱭᱚ ᱩᱫᱽᱫᱟᱱ ᱠᱚᱫᱚ ᱯᱨᱚᱡᱮᱠᱴ ᱴᱟᱭᱜᱟᱨ ᱴᱚᱴᱷᱟ ᱨᱩᱯ ᱛᱮ ᱪᱟᱪᱟᱞᱟᱣᱚᱜᱼᱟ ᱾"
"क्रिकालेव और फिलिप्स के पास अगले दो दिनों के लिए हल्का काम होगा, क्योंकि वे एक व्यस्त हस्तांतरण अवधि को पूरा करने के बाद आराम करते हैं।","ᱠᱨᱤᱠᱟᱞᱮᱵᱷ ᱟᱨ ᱯᱷᱤᱞᱤᱯᱥ ᱟᱜᱟᱢ ᱵᱟᱨ ᱢᱟᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱥᱮ ᱟᱸᱜᱤᱵᱷᱟᱨ ᱠᱤᱱ ᱯᱟᱞᱟᱣᱼᱟ, ᱚᱡᱮ ᱫᱚ ᱩᱱᱠᱤᱱ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱦᱚᱲ ᱪᱟᱞᱦᱟᱛᱟᱣ ᱟᱸᱜᱤᱵᱷᱟᱨ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱚ ᱢᱩᱪᱟᱹᱫ ᱛᱟᱭᱚᱢ ᱠᱤᱱ ᱡᱤᱨᱟᱹᱜᱼᱟ ᱾"
"बालेश्वर जिले में चांदीपुर एक शांत और निर्मल स्थल है, जो ज्यादातर पर्यटकों द्वारा अनछुआ है।","ᱵᱟᱞᱮᱥᱥᱚᱨ ᱦᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱟᱸᱫᱤᱯᱩᱨ ᱢᱤᱫᱴᱟᱝ ᱱᱤᱨᱞᱟᱹ ᱟᱨ ᱥᱟᱯᱷᱟ ᱴᱷᱟᱶ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱰᱷᱮᱨᱠᱟᱭᱛᱮ ᱫᱟᱲᱟᱱᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱵᱟᱝ ᱛᱩᱱᱠᱷᱤᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾"
भारतीय उपमहाद्वीप की कुछ सबसे पुरानी चट्टानें गोवा में कर्नाटक के साथ गोवा की सीमा पर मोलेम और अनमोड के बीच पाई जाती हैं।,ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱩᱯᱚᱢᱟᱦᱟᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱮᱱ ᱥᱤᱞᱟᱹ ᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱤᱫ ᱵᱟᱨ ᱜᱳᱶᱟ ᱨᱮ ᱠᱚᱨᱱᱟᱴᱚᱠ ᱥᱟᱶᱛᱮ ᱜᱳᱣᱟ ᱥᱤᱢᱟᱹᱨᱮ ᱢᱳᱞᱮᱢ ᱟᱨ ᱟᱱᱢᱳᱫᱮᱨ ᱛᱟᱞᱟᱢᱟᱞᱟ ᱴᱚᱴᱷᱟ ᱨᱮ ᱧᱮᱞ ᱧᱟᱢᱚᱜᱼᱟ ᱾
"इसके अलावा, आपको अपनी स्थिति से संबंधित कोई भी मेडिकल रिकॉर्ड प्रस्तुत करना होगा।","ᱱᱚᱶᱟ ᱵᱮᱜᱚᱨ, ᱟᱢᱟᱜ ᱦᱟᱞᱚᱛ ᱵᱟᱠᱷᱨᱟ ᱡᱟᱦᱟᱸᱱ ᱢᱮᱰᱤᱠᱮᱞ ᱫᱚᱞᱤᱞ ᱟᱢ ᱴᱷᱮᱱ ᱛᱟᱦᱮᱸᱱ ᱠᱷᱟᱱ ᱚᱱᱟ ᱠᱚᱦᱚᱸ ᱮᱢᱚᱜ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
इनमें से प्रत्येक द्वीप की अपनी बोली है।,ᱱᱚᱶᱟ ᱰᱷᱤᱵ ᱠᱚᱫᱚ ᱱᱤᱡᱮᱨᱟᱜ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱱᱟᱢᱟᱜ ᱪᱟᱸᱜᱟ ᱯᱟᱹᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾
संयुक्ता हेगड़े एक भारतीय अभिनेत्री हैं जो मुख्य रूप से कन्नड़ और तमिल फिल्मों में काम करती हैं।,ᱥᱚᱝᱡᱩᱠᱛᱟ ᱦᱮᱜᱚᱲ ᱢᱤᱫᱦᱚᱲ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱯᱟᱴᱷᱚᱠᱤᱭᱟᱹ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱟᱥᱚᱞᱨᱮ ᱠᱚᱱᱱᱚᱲ ᱟᱨ ᱛᱟᱹᱢᱤᱞ ᱪᱚᱞᱚᱠᱪᱤᱛᱟᱹᱨᱮᱭ ᱠᱟᱹᱢᱤ ᱞᱮᱫᱟ ᱾
